Date,Open,High,Low,Close,Adj Close,Volume
24/10/19,1389.01001,1396.97998,1376.050049,1388.140015,1388.140015,10932
25/10/19,1384.5,1404,1380.050049,1387.839966,1387.839966,32884
28/10/19,1397.73999,1404,1390.030029,1399.469971,1399.469971,76675
29/10/19,1401.900024,1411,1393.050049,1399.349976,1399.349976,49456
30/10/19,1391.050049,1411.890015,1390,1394.130005,1394.130005,59900
31/10/19,1400,1402.949951,1392.109985,1398.060059,1398.060059,11700
01/11/19,1395,1408.959961,1390.119995,1399.599976,1399.599976,9590
04/11/19,1403.089966,1419,1390.01001,1402.040039,1402.040039,20004
05/11/19,1400,1404.829956,1390.030029,1397.439941,1397.439941,47494
06/11/19,1403.900024,1409,1392,1401.209961,1401.209961,53857
07/11/19,1400.140015,1407.430054,1391.069946,1394.959961,1394.959961,10275
08/11/19,1391.47998,1400,1387.01001,1393.859985,1393.859985,6708
11/11/19,1399,1401.900024,1360,1383.589966,1383.589966,15648
12/11/19,1394.949951,1398.5,1361.01001,1373.369995,1373.369995,54036
13/11/19,1367.050049,1381,1355.209961,1372.339966,1372.339966,19473
14/11/19,1370,1377.969971,1352.670044,1373.609985,1373.609985,56280
15/11/19,1379.5,1382.949951,1356.589966,1365.699951,1365.699951,43267
19/11/19,1382.949951,1382.949951,1352.01001,1363.199951,1363.199951,48925
20/11/19,1366.5,1379.98999,1355.369995,1374.180054,1374.180054,53723
21/11/19,1382,1390.900024,1367.180054,1379.25,1379.25,64857
22/11/19,1372.530029,1377,1360.099976,1370.380005,1370.380005,9749
25/11/19,1377.709961,1377.900024,1360.099976,1367.640015,1367.640015,45402
26/11/19,1375.97998,1399.969971,1360.51001,1386.01001,1386.01001,104384
27/11/19,1378.73999,1395.5,1373,1383.369995,1383.369995,34710
28/11/19,1375.300049,1384,1365.040039,1377.25,1377.25,2598
29/11/19,1377.829956,1398.900024,1360.180054,1367.829956,1367.829956,19249
02/12/19,1371.23999,1405,1364.51001,1381.579956,1381.579956,36422
